x,z,y,faction
-3.218231439590454,-3.586174488067627,-1.8622125387191772,sphere1
-0.19920846819877625,-0.989473819732666,-0.41680219769477844,sphere1
-0.4393059015274048,-0.748527467250824,-1.178451657295227,sphere1
-2.594238758087158,-0.08010458201169968,2.7810919284820557,sphere1
-2.6281397342681885,-4.01957893371582,-0.1701343059539795,sphere2
-1.8673619031906128,-3.770691394805908,0.8909527659416199,sphere1
-1.8840014934539795,-3.850703239440918,-0.5774811506271362,sphere1
-0.22365102171897888,-1.2243964672088623,-0.7393590211868286,sphere1
-3.954258441925049,-3.627455949783325,1.6482008695602417,sphere1
-1.9118000268936157,-5.520838737487793,-1.294775366783142,sphere2
-3.8421573638916016,-2.4038736820220947,2.7222118377685547,sphere1
-0.6587970852851868,-0.11760248243808746,1.2755707502365112,sphere1
-2.5194268226623535,-4.131790637969971,-0.22537162899971008,sphere1
-2.279536247253418,-4.894895553588867,1.1150881052017212,sphere2
-1.7377796173095703,-3.536557197570801,-2.107264280319214,sphere2
-2.199922561645508,-3.9827303886413574,0.5692082643508911,sphere1
-1.8916563987731934,-3.545794725418091,1.419539213180542,sphere1
-2.1713829040527344,-4.716480731964111,1.502672791481018,sphere2
-0.20012275874614716,-1.1053154468536377,-0.5395883321762085,sphere1
-1.295149564743042,-2.6074774265289307,1.8809722661972046,sphere1
-0.7863799929618835,-0.8266516923904419,1.8094005584716797,sphere1
-1.935503363609314,-0.7211686372756958,2.7411680221557617,sphere1
-0.48043978214263916,-2.4881820678710938,0.2950327396392822,sphere1
-1.3910102844238281,-3.602550983428955,-0.19136105477809906,sphere1
-1.5935860872268677,-2.9150030612945557,1.9125438928604126,sphere1
-4.804155349731445,-2.3949363231658936,2.2800707817077637,sphere1
-0.6018941402435303,-2.4610378742218018,-0.9352132081985474,sphere1
-1.5644105672836304,-3.695800304412842,0.43330103158950806,sphere1
-2.6224677562713623,-4.7325639724731445,0.5849102735519409,sphere3
-1.5866215229034424,-3.7200145721435547,-0.3897143602371216,sphere1
-2.398047924041748,0.9473525881767273,2.0293304920196533,sphere1
-2.105333089828491,-5.624541282653809,-0.7055847644805908,sphere2
-1.408928394317627,-6.256197929382324,1.0099635124206543,sphere2
-5.147171497344971,-4.409587860107422,0.4698399007320404,sphere3
-2.606663227081299,-2.637380599975586,-2.623204231262207,sphere1
-2.3968536853790283,1.5463217496871948,1.1000043153762817,sphere1
-0.22593146562576294,-0.8733099699020386,-0.5036194324493408,sphere1
-2.9550514221191406,-4.796372890472412,1.221964955329895,sphere3
-2.5471677780151367,-3.7466347217559814,-0.5122323632240295,sphere2
-2.224454402923584,-5.111541748046875,1.0371239185333252,sphere2
-2.5769176483154297,-3.8936104774475098,-0.4332326650619507,sphere2
-1.8709290027618408,-5.602503776550293,-1.2526748180389404,sphere2
-1.9448802471160889,-5.612380504608154,-1.0951709747314453,sphere2
-0.44776180386543274,-0.6029331684112549,1.1525906324386597,sphere1
-3.2964911460876465,-4.215152740478516,0.16597522795200348,sphere1
-3.4057750701904297,-2.6177005767822266,2.690952777862549,sphere1
-3.691014289855957,-4.258901596069336,-0.1508350670337677,sphere3
-2.6009459495544434,-4.089643478393555,0.6270323991775513,sphere1
-2.1783316135406494,-3.634140729904175,1.4879273176193237,sphere1
-1.2006967067718506,-3.4116504192352295,0.46407443284988403,sphere1
-2.6201045513153076,-2.4155704975128174,2.729295253753662,sphere1
-2.2890539169311523,-2.69108247756958,-0.17838943004608154,sphere2
